Combination,MSE
"('Lithium, Li', 'Titanium, Ti', 'Aluminum, Al')",0.7525976300239563
"('Lithium, Li', 'Magnesium, Mg', 'Aluminum, Al')",0.34492385387420654
"('Lithium, Li', 'Zinc, Zn', 'Aluminum, Al')",0.7450119256973267
"('Lithium, Li', 'Copper, Cu', 'Aluminum, Al')",0.7447648644447327
"('Lithium, Li', 'Manganese, Mn', 'Aluminum, Al')",0.7449485659599304
"('Lithium, Li', 'Silicon, Si', 'Aluminum, Al')",0.7444411516189575
"('Lithium, Li', 'Chromium, Cr', 'Aluminum, Al')",0.7443715929985046
"('Lithium, Li', 'Iron, Fe', 'Aluminum, Al')",0.7449316382408142
"('Titanium, Ti', 'Magnesium, Mg', 'Aluminum, Al')",0.7360257506370544
"('Titanium, Ti', 'Zinc, Zn', 'Aluminum, Al')",0.7439715266227722
"('Titanium, Ti', 'Copper, Cu', 'Aluminum, Al')",0.744145929813385
"('Titanium, Ti', 'Manganese, Mn', 'Aluminum, Al')",0.7493717670440674
"('Titanium, Ti', 'Silicon, Si', 'Aluminum, Al')",0.7227567434310913
"('Titanium, Ti', 'Chromium, Cr', 'Aluminum, Al')",0.7802385091781616
"('Titanium, Ti', 'Iron, Fe', 'Aluminum, Al')",0.744536280632019
"('Magnesium, Mg', 'Zinc, Zn', 'Aluminum, Al')",0.7424134612083435
"('Magnesium, Mg', 'Copper, Cu', 'Aluminum, Al')",0.7050199508666992
"('Magnesium, Mg', 'Manganese, Mn', 'Aluminum, Al')",0.7457180023193359
"('Magnesium, Mg', 'Silicon, Si', 'Aluminum, Al')",0.7452200055122375
"('Magnesium, Mg', 'Chromium, Cr', 'Aluminum, Al')",0.7444844841957092
"('Magnesium, Mg', 'Iron, Fe', 'Aluminum, Al')",0.7637084722518921
"('Zinc, Zn', 'Copper, Cu', 'Aluminum, Al')",0.700741171836853
"('Zinc, Zn', 'Manganese, Mn', 'Aluminum, Al')",0.7439837455749512
"('Zinc, Zn', 'Silicon, Si', 'Aluminum, Al')",0.7398483753204346
"('Zinc, Zn', 'Chromium, Cr', 'Aluminum, Al')",0.7447075247764587
"('Zinc, Zn', 'Iron, Fe', 'Aluminum, Al')",0.7464464902877808
"('Copper, Cu', 'Manganese, Mn', 'Aluminum, Al')",0.7791229486465454
"('Copper, Cu', 'Silicon, Si', 'Aluminum, Al')",0.7441840767860413
"('Copper, Cu', 'Chromium, Cr', 'Aluminum, Al')",0.7448468208312988
"('Copper, Cu', 'Iron, Fe', 'Aluminum, Al')",0.7447302341461182
"('Manganese, Mn', 'Silicon, Si', 'Aluminum, Al')",0.7274637818336487
"('Manganese, Mn', 'Chromium, Cr', 'Aluminum, Al')",0.7551064491271973
"('Manganese, Mn', 'Iron, Fe', 'Aluminum, Al')",0.7443885207176208
"('Silicon, Si', 'Chromium, Cr', 'Aluminum, Al')",0.7411957383155823
"('Silicon, Si', 'Iron, Fe', 'Aluminum, Al')",0.7338935732841492
"('Chromium, Cr', 'Iron, Fe', 'Aluminum, Al')",0.7443021535873413
