Combination,MSE
"('Silicon, Si', 'Magnesium, Mg', 'Aluminum, Al')",0.39134347438812256
"('Silicon, Si', 'Zinc, Zn', 'Aluminum, Al')",0.2483554482460022
"('Silicon, Si', 'Lithium, Li', 'Aluminum, Al')",0.39122524857521057
"('Silicon, Si', 'Titanium, Ti', 'Aluminum, Al')",0.390415757894516
"('Silicon, Si', 'Nickel, Ni', 'Aluminum, Al')",0.26656457781791687
"('Silicon, Si', 'Copper, Cu', 'Aluminum, Al')",0.3919220268726349
"('Silicon, Si', 'Iron, Fe', 'Aluminum, Al')",0.39135441184043884
"('Silicon, Si', 'Manganese, Mn', 'Aluminum, Al')",0.41217029094696045
"('Magnesium, Mg', 'Zinc, Zn', 'Aluminum, Al')",0.35704857110977173
"('Magnesium, Mg', 'Lithium, Li', 'Aluminum, Al')",0.3534013628959656
"('Magnesium, Mg', 'Titanium, Ti', 'Aluminum, Al')",0.39133086800575256
"('Magnesium, Mg', 'Nickel, Ni', 'Aluminum, Al')",0.3765447735786438
"('Magnesium, Mg', 'Copper, Cu', 'Aluminum, Al')",0.3555072844028473
"('Magnesium, Mg', 'Iron, Fe', 'Aluminum, Al')",0.39129745960235596
"('Magnesium, Mg', 'Manganese, Mn', 'Aluminum, Al')",0.4038723409175873
"('Zinc, Zn', 'Lithium, Li', 'Aluminum, Al')",0.3884439468383789
"('Zinc, Zn', 'Titanium, Ti', 'Aluminum, Al')",0.391122967004776
"('Zinc, Zn', 'Nickel, Ni', 'Aluminum, Al')",0.3913002908229828
"('Zinc, Zn', 'Copper, Cu', 'Aluminum, Al')",0.39114221930503845
"('Zinc, Zn', 'Iron, Fe', 'Aluminum, Al')",0.40438607335090637
"('Zinc, Zn', 'Manganese, Mn', 'Aluminum, Al')",0.39104050397872925
"('Lithium, Li', 'Titanium, Ti', 'Aluminum, Al')",0.39134496450424194
"('Lithium, Li', 'Nickel, Ni', 'Aluminum, Al')",0.39100632071495056
"('Lithium, Li', 'Copper, Cu', 'Aluminum, Al')",0.3913881778717041
"('Lithium, Li', 'Iron, Fe', 'Aluminum, Al')",0.3912302255630493
"('Lithium, Li', 'Manganese, Mn', 'Aluminum, Al')",0.3912515342235565
"('Titanium, Ti', 'Nickel, Ni', 'Aluminum, Al')",0.4119213819503784
"('Titanium, Ti', 'Copper, Cu', 'Aluminum, Al')",0.44876018166542053
"('Titanium, Ti', 'Iron, Fe', 'Aluminum, Al')",0.3913649022579193
"('Titanium, Ti', 'Manganese, Mn', 'Aluminum, Al')",0.3746931552886963
"('Nickel, Ni', 'Copper, Cu', 'Aluminum, Al')",0.391177237033844
"('Nickel, Ni', 'Iron, Fe', 'Aluminum, Al')",0.3809926211833954
"('Nickel, Ni', 'Manganese, Mn', 'Aluminum, Al')",0.3913790285587311
"('Copper, Cu', 'Iron, Fe', 'Aluminum, Al')",0.3876782953739166
"('Copper, Cu', 'Manganese, Mn', 'Aluminum, Al')",0.3912810981273651
"('Iron, Fe', 'Manganese, Mn', 'Aluminum, Al')",0.39662787318229675
