Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be"
8.9,0.1552030915516618,-1.3678533085875544,-1.6085885486781135,1.8333286955621402,-1.15045054971226,0.0,0.15,0.0,0.0,0.05,0.02,0.0,99.8,0.0,0.05,0.0,0.0,0.02,0.0,0.002,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,3.2256717681647125,3.1002621401841335,-0.45995415912217896,1.4715567229389517,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8417445477709793,-0.50027873523482,-0.7147633651981796,0.2676625251164905,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.7300705183523666,-0.3829972734947889,-0.7147633651981796,-0.18743671698845396,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,3.141295834826205,2.9800486419006016,-0.45995415912217896,1.4715567229389517,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,0.27499574641514724,0.3500118623804052,-0.7147633651981796,0.24106724932907633,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.537409473561031,-1.226399537990645,-2.8019274218829295,2.0549019182369506,-0.4909759932575605,0.0,0.05,16.5,0.0,10.0,0.8,0.0,72.5,0.0,0.4,0.0,0.0,0.5,0.015,0.015,0.0,0.0,0.0,0.0
8.13,-0.6092096724670767,0.9177418268467178,0.877778440210545,0.8744705744369148,-0.4419788876575114,0.8,0.04,17.0,1.0,11.1,0.35,2.8,50.0,0.0,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,1.3445847837356373,0.9393512076240612,0.6700692765193855,-0.37973932108448133,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.6556211654066249,-0.251055629037254,-0.7147633651981796,0.0962388678212176,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,-2.957048876238916,0.006978075810476887,-0.32435654262477337,1.6117554728873298,0.38567492315410107,1.6,0.05,18.0,10.0,5.0,0.1,9.0,53.0,0.0,0.5,3.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5191306850060983,-0.3390167253422773,-0.7147633651981796,0.08242256687272152,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.9742167672860244,0.8060677974281052,0.8044775266230255,1.6117554728873298,-0.19699335965728007,1.6,0.05,18.0,10.0,5.0,0.1,9.0,53.0,0.0,0.5,3.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5687635869699261,-0.3390167253422773,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.41986488107844255,-0.1337741672972229,-0.7147633651981796,-0.34680973479832833,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.83,-1.3190215247701909,-1.1395419595539462,-1.4385304291550685,0.3931027481758725,-1.3729238940584205,0.02,0.1,0.0,0.0,1.0,0.5,0.0,66.0,0.0,0.25,0.0,0.0,32.0,0.005,0.005,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,1.7887992563118964,1.4847100047152058,0.6700692765193855,0.8663762564734999,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,1.317286687655532,1.2589431908656459,-0.7147633651981796,0.708790970894965,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8665609987528932,-0.5442592833873316,-0.7147633651981796,-0.9738844034057812,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.33300730264174383,-0.11911398457971904,-0.7147633651981796,-0.49071114403810373,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,0.9177418268467178,0.4321088855984269,0.6700692765193855,-0.5704307590954768,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.9,0.04600126812041343,0.9524848582213973,0.470225360663937,0.2269228311697647,-0.9345984358525956,0.0,0.01,14.5,2.5,4.0,1.0,15.0,57.0,0.0,0.08,0.0,0.0,0.0,0.025,0.01,0.0,3.0,0.35,0.0
8.28,0.1552030915516618,-0.8789692242438502,-0.734841658714882,1.6355745943248896,0.7260061701598348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
8.44,0.20980400326728596,-0.59358003795184,-0.3390167253422773,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.72,-0.22700329045770745,-1.1296153791611807,-1.3124528577845351,1.3901822502125194,-0.8445497012362894,0.0,0.0,10.0,0.0,0.0,0.0,0.0,89.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.7424787438433236,-0.3976574562122928,-0.7147633651981796,-0.2033276701560377,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5191306850060983,-0.3390167253422773,-0.7147633651981796,0.08242256687272152,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,0.8308842484100191,0.4731573972074378,-0.45995415912217896,-0.4380061493656296,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.41986488107844255,-0.1337741672972229,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8665609987528932,-0.5442592833873316,-0.7147633651981796,-2.1873352438970755,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.22,0.04600126812041343,-0.33300730264174383,-0.47682244288681375,1.053944884803497,0.8584307798896939,0.0,0.1,22.0,1.5,18.0,1.0,9.0,47.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,0.0,0.6,0.0,0.0
8.44,0.20980400326728596,-0.8169280967890653,-0.4709583697998122,-0.7147633651981796,0.4080326114301391,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,1.4165524915831877,1.5521468452157234,-0.7147633651981796,4.831169071785479,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.04600126812041343,-1.1147255085720325,-0.998724947629952,2.0549019182369506,-0.9531378812147704,1.35,0.05,23.0,0.0,14.1,0.5,0.0,60.5,0.0,0.25,0.0,0.0,0.25,0.0,0.005,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,-0.2808927555797246,-0.3742011638642866,0.6700692765193855,-0.22462596155423456,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.3081908516598299,-0.10445380186221516,-0.7147633651981796,-0.5185203120813753,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,0.051647687577921944,-0.01649270555719187,-0.7147633651981796,-0.43800614936562254,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,0.27499574641514724,0.3500118623804052,-0.7147633651981796,0.24106724932907633,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.26,-3.6122598168264064,-1.5787931419338228,-2.626005229272883,1.7463612056622917,2.182676877188289,0.8,0.08,16.0,1.0,8.0,0.35,0.0,70.0,1.0,0.35,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
