Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be",Nb + Ta,"Nitrogen, N",Y2O3
8.44,0.37277932336964076,0.33161156447466983,0.43243031111387853,48.78,-0.5930662583982019,-0.3773931440241686,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,-1.98878816430841,-0.2683290033264399,-2.141136199979518,49.68,-5.09303616340555,0.7988466661623732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.12,0.408291616417431,-1.021195598214107,-0.908724067906624,49.29,1.9069170221614393,1.1991754217997843,0.0,0.02,30.0,0.0,10.0,0.5,0.0,60.0,0.0,0.5,0.0,0.0,0.0,0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,1.9338057867199863,1.4594404211746237,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.2448019222362003,0.03370873897264806,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,-1.3835126470037966,-2.0638083799278855,49.62,-0.2565685088348627,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.44,0.37277932336964076,-0.727107084586112,-0.2925180018701769,49.02,-0.5930662583982019,-0.3617308296408536,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.3550231768457457,-1.2376447442443113,-1.2059528762300866,49.35,1.706918359716668,0.4307822781546108,0.0,0.15,0.0,0.0,0.05,0.02,0.0,99.8,0.0,0.05,0.0,0.0,0.02,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,3.117217965559038,2.6749370926112235,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,2.484339484231593,1.959654757133622,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.7388706251312318,-0.2925180018701769,49.02,-0.5930662583982019,-0.3617308296408536,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,-1.3929234794398926,-2.0227279755254557,49.62,-0.2565685088348627,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
