Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"ATI Wah Chang 425™ Titanium Alloy, Tubular Extruded","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Long.'}","{'metric_value': '924', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '1030', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
"Titanium Ti-15Mo-5Zr-3Al ST 785°C, Aged 500°C","{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}",,"{'metric_value': '1510', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '77 %', '77 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
Titanium IMI 829 (Ti-5.5Al-3.5Sn-3Zr-1Nb-0.25Mo-0.3Si),"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '85.0', 'metric_unit': 'GPa', 'comment': 'dynamic'}","{'metric_value': '820', 'metric_unit': 'MPa', 'comment': '0.2% offset'}",,,"{'metric_value': '0.516', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.45 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '205 °C'}]","[['Aluminum, Al', '5.6 %', '5.6 %', ''], ['Hydrogen, H', '<= 0.0060 %', '<= 0.0060 %', ''], ['Molybdenum, Mo', '0.25 %', '0.25 %', ''], ['Niobium, Nb (Columbium, Cb)', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '0.090 - 0.15 %', '0.090 - 0.15 %', ''], ['Silicon, Si', '0.30 %', '0.30 %', ''], ['Tin, Sn', '>= 3.5 %', '>= 3.5 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Zirconium, Zr', '3.0 %', '3.0 %', '']]"
Titanium IMI 230 (Ti-2.5Cu),"{'metric_value': '4.56', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '480', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '620', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '280', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.02 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Copper, Cu', '2.0 - 3.0 %', '2.0 - 3.0 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '96.06 - 98 %', '96.06 - 98 %', 'As Balance; Elemental Composition per ASTM B265']]"
"Titanium Transage 129, Duplex Heat Treat 760/480°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': 'After Duplex Heat Treat 815/540ºC'}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1310', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 2.7'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.0 %', '2.0 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '73.5 %', '73.5 %', ''], ['Vanadium, V', '11.5 %', '11.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '11 %', '11 %', '']]"
"Titanium Beta C (Ti-3Al-8V-6Cr-4Mo-4Zr ST 815°C, Aged 425°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '104', 'metric_unit': 'GPa', 'comment': 'Sample ST 815ºC, Aged 510ºC'}","{'metric_value': '1420', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1500', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.515', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '250 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '6.0 %', '6.0 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Kobe Steel KSTI-1.5AL Alpha Titanium Alloy, Annealed",,,"{'metric_value': '21', 'metric_unit': '5', 'comment': '0.2% proof'}","{'metric_value': '345', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '1.0 - 2.0 %', '1.0 - 2.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '>= 97.325 %', '>= 97.325 %', 'As Remainder']]"
"Titanium Beta CEZ, ST 860°C (1580°F), Aged 600°C","{'metric_value': '4.69', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': 'Unaged'}","{'metric_value': '1300', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1370', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '910', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.508', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '1.0 %', '1.0 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
Titanium Ti-10V-2Fe-3Al (Ti 10-2-3) ST 760°C; Age 525°C (980°F),"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '106', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': '(annealed 510°C)'}","{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '450', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '425 °C'}]","[['Aluminum, Al', '2.6 - 3.4 %', '2.6 - 3.4 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '1.6 - 2.2 %', '1.6 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '82.855 - 86.8 %', '82.855 - 86.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '9.0 - 11 %', '9.0 - 11 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta, predominant'], ['', 'cph', 'Alpha']]"
"Titanium Ti-10V-2Fe-3Al (Ti 10-2-3) ST 760°C, Aged 385°C","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': 'unspecified heat treatment'}","{'metric_value': '1240', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1430', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '450', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 3.0'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '425 °C'}]","[['Aluminum, Al', '2.6 - 3.4 %', '2.6 - 3.4 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '1.6 - 2.2 %', '1.6 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '82.855 - 86.8 %', '82.855 - 86.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '9.0 - 11 %', '9.0 - 11 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta, predominant'], ['', 'cph', 'Alpha']]"
